customer_key,name,street,postal_code,city
cust-109,Bakkehage,Bjoernegaardsvingen 60,1338,Sandvika
cust-110,Engterrasse,Romsaasveien 31,0977,Oslo
cust-111,Grønneskogen Drift AS,Frognerveien 14,0266,Oslo
cust-112,Stadboligsameie,Kirkeveien 29,1384,Asker
cust-113,Solberggaard,Gjerdrumsveien 39,2032,Maura
cust-114,Viktoppen Drift AS,Hoffsveien 1,0275,Oslo
cust-115,Heimpark,Colbjoernsens gate 73,0356,Oslo
cust-116,Lillepark,Aaneby-vegen 19,2160,Vormsund
cust-117,Lilleskogen Eiendomsforvaltning AS,Groenland 41,0188,Oslo
cust-118,Gamlehaugen AS,Vestbyveien 7,1540,Vestby
cust-119,Lilleboligsameie,Torggata 83,0181,Oslo
cust-120,Berghage,Thorvald Meyers gate 63,0555,Oslo
cust-121,Soendreterrasse,Skovveien 25,0257,Oslo
cust-122,Engboligsameie,Malmskrivervegen 13,1337,Sandvika
cust-123,Vikskogen Eiendomsforvaltning AS,Boelerlia 52,0691,Oslo
cust-124,Stadveien Eiendom AS,Skovveien 16,0257,Oslo
cust-125,Aasveien Eiendomsforvaltning AS,Hoevikveien 25,1363,Hoevik
cust-126,Nordreterrasse,Kirkeveien 41,1384,Asker
cust-127,Bergterrasse,Slemdalsveien 84,0370,Oslo
cust-128,Soendreveien AS,Grefsenveien 77,0487,Oslo
cust-129,Skogborettslag,Frognerveien 43,0266,Oslo
cust-130,Bakkepark,Markveien 68,0554,Oslo
cust-131,Aasstranda Eiendom AS,Gjerdrumsveien 29,2032,Maura
cust-132,Nyepark,Ljabruveien 16,1165,Oslo
cust-133,Solbergterrasse,Enebakkveien 11,1912,Enebakk
cust-134,Engtoppen Drift AS,Nordstrandveien 61,1170,Oslo
cust-135,Bakkegaard,Maridalsveien 37,0461,Oslo
cust-136,Soendrehage,Markveien 43,0554,Oslo
cust-137,Soendrestranda Eiendomsforvaltning AS,Soerkedalsveien 22,0378,Oslo
cust-138,Hoeyestranda Eiendom AS,Torggata 49,0181,Oslo
cust-139,Bakkeskogen Eiendomsforvaltning AS,Bekkelagsveien 61,1177,Oslo
cust-140,Vikskogen Drift AS,Kjelsaasveien 43,0491,Oslo
cust-141,Vestreveien Drift AS,Bekkelagsveien 68,1177,Oslo
cust-142,Vestrepark,Uelands gate 31,0459,Oslo
cust-143,Grønnestranda Eiendomsforvaltning AS,Rausjoveien 15,2080,Eidsvoll
cust-144,Dalsameie,Roaveien 44,0755,Oslo
cust-145,Fjellboligsameie,Bekkelagsveien 19,1177,Oslo
cust-146,Nyeborettslag,Sorgenfrigata 77,0367,Oslo
cust-147,Storesameie,Loeddesoelveien 56,2008,Fjerdingby
cust-148,Gamlegaard,Kirkeveien 66,0366,Oslo
cust-149,Lundterrasse,Drammensveien 30,0271,Oslo
cust-150,Lundboligsameie,Pilestredet 29,0167,Oslo
